															0	0	0	80	80	80	80	80	80	90	90	90	80	80	80	80	80	80	80	80	80	80	80	80	80	80	80	JJ	80	80	80	LL	LL	82	LL	LL	80	80	80	80	80	80	0																																																																																																				
																0	0	0	80	80	80	80	80	90	90	90	80	80	80	80	80	80	80	80	80	80	80	80	80	80	80	JJ	80	80	80	LL	LL	80	LL	LL	80	80	80	80	80	80	80	0																																																																																																			
																	0	0	0	80	80	80	80	90	90	FL	80	80	80	80	80	80	80	80	80	80	80	80	80	80	80	JJ	80	80	80	80	LL	78	LL	LL	80	80	80	80	80	80	80	80	0																																																																																																		
																		0	0	0	80	80	80	80	80	80	80	80	80	LA	AA	AA	AJ	80	LL	80	80	80	80	80	80	JJ	80	80	80	80	LL	76	LL	80	80	80	80	80	80	80	80	80	80	0																																																																																																	
																			0	0	0	80	80	80	80	80	80	80	80	LL	83	83	JJ	79	LL	80	80	80	80	80	80	JJ	80	80	80	80	LL	74	LL	80	80	80	80	80	80	80	80	80	80	80	0																																																																																																
																				0	0	0	80	80	80	80	80	80	80	LL	83	83	JJ	78	LL	80	80	80	80	80	80	JJ	VV	VV	VV	VV	LL	72	LV	VV	VV	VV	VV	VV	VV	VV	VV	VV	VV	VV	VV	0																																																																																															
																					0	0	0	80	80	80	80	80	80	LV	VV	VV	VJ	77	LL	80	80	80	80	80	80	JJ	72	72	72	72	72	72	72	72	72	72	72	72	72	72	72	72	72	LL	77	75	0																																																																																														
																						0	0	0	80	80	NS	80	80	80	80	80	JJ	76	LL	80	80	80	80	80	80	JJ	72	72	72	72	72	72	72	72	72	72	72	72	72	72	72	72	72	LL	75	75	JJ	0																																																																																													
																							0	0	0	80	80	80	80	80	80	80	JJ	75	LL	80	80	80	80	80	80	JJ	72	72	72	72	72	72	72	72	72	72	72	72	72	72	72	72	72	LV	VV	VV	VJ	58	0																																																																																												
																								0	0	0	80	80	80	80	80	80	JJ	74	LL	80	80	80	80	80	80	JJ	72	72	72	72	72	72	72	72	72	72	72	72	72	72	72	72	72	72	72	72	JJ	59	LL	0																																																																																											
																									0	0	0	80	80	80	80	80	JJ	73	LL	80	80	80	80	80	80	JJ	72	72	72	72	72	72	72	72	72	72	72	72	72	72	72	72	72	72	72	72	JJ	60	LL	72	0																																																																																										
																										0	0	0	80	80	80	80	JJ	72	LL	80	80	80	80	80	80	JJ	72	72	72	72	72	72	72	72	72	72	72	72	72	72	72	72	72	LA	AA	AA	AJ	61	LL	72	72	0																																																																																									
																											0	0	0	80	80	80	JJ	71	LL	80	80	80	80	80	80	JJ	72	72	72	72	72	72	72	72	72	72	72	72	72	72	72	72	72	LL	77	75	JJ	62	LL	72	72	72	0																																																																																								
																												0	0	0	80	80	JJ	70	LL	80	80	80	80	80	80	JJ	72	72	72	72	72	72	72	72	72	72	72	72	72	72	72	72	72	LL	75	75	JJ	63	LL	72	72	72	72	0																																																																																							
																													0	0	0	80	80	80	80	80	80	80	80	80	80	JJ	72	72	72	72	72	72	72	72	72	LA	AA	AA	AJ	72	72	72	72	LV	VV	VV	VJ	64	LL	72	72	72	72	LL	0																																																																																						
																														0	0	0	80	80	80	80	80	80	LA	AA	AA	AJ	VV	VV	VV	VV	VV	VV	VV	VV	VV	LL	77	75	JJ	72	72	72	72	72	72	72	JJ	65	LL	72	72	72	72	LL	72	0																																																																																					
																															0	0	0	80	80	80	80	80	LL	83	83	JJ	0	0	0	0	0	0	0	0	0	LL	75	75	JJ	72	72	72	72	72	72	72	JJ	66	LL	72	72	72	72	LL	72	72	0																																																																																				
																																0	0	0	80	80	80	80	LL	83	83	JJ	AA	AA	AA	AA	AA	AA	AA	AA	72	LV	VV	VV	VJ	72	72	72	72	72	72	72	JJ	67	LL	72	72	72	VV	LL	72	72	72	0																																																																																			
																																	0	0	0	80	80	80	LV	VV	VV	VJ	72	72	72	72	72	72	72	72	72	72	72	72	72	72	72	72	72	VV	VV	VV	JJ	68	LL	72	72	LL	54	72	72	72	72	72	0																																																																																		
																																		0	0	0	80	80	80	80	80	JJ	72	72	72	72	72	72	72	72	72	72	72	72	72	72	72	72	72	LL	74	74	JJ	69	LL	72	72	LL	55	LL	72	72	72	72	72	0																																																																																	
																																			0	0	0	80	80	80	80	JJ	72	72	72	VV	VV	VV	VV	VV	VV	VV	VV	VV	VV	VV	VV	VV	72	LL	77	75	JJ	70	LL	72	72	LL	56	LL	72	72	72	72	72	0	0																																																																																
																																				0	0	0	80	80	80	JJ	72	72	72	72	71	70	69	68	67	66	65	64	63	62	61	60	72	LL	75	75	JJ	71	LL	72	72	LL	57	LL	72	72	72	72	72	0	0	0																																																																															
																																					0	0	0	80	80	JJ	72	72	72	AA	AA	AA	AA	AA	AA	AA	AA	AA	AA	AA	AA	AA	AA	LV	VV	VV	VJ	72	72	72	72	LL	58	LL	72	72	72	72	72	0	0	0	0																																																																														
																																						0	0	0	80	JJ	72	72	72	72	72	72	72	72	72	72	72	72	72	72	72	72	72	72	72	72	72	72	72	72	72	LL	59	LL	72	72	72	72	72	0	0	0	0	0																																																																													
																																							0	0	0	JJ	72	72	72	72	72	72	72	72	72	72	72	72	72	72	72	72	72	72	72	72	72	72	72	72	72	LL	60	LL	72	72	72	72	72	0	0	0	0	0	0																																																																												
																																								0	0	0	72	72	72	72	72	72	72	72	72	72	72	72	72	72	72	72	72	72	72	72	72	72	72	72	72	LL	61	LL	72	72	72	72	72	0	0	0	0	0	0	0																																																																											
																																									0	0	0	72	72	72	72	72	72	72	72	72	72	72	72	72	72	72	72	72	72	72	72	72	72	72	72	LL	62	LL	72	72	72	72	72	0	0	0	0	0	0	0	0																																																																										
																																										0	0	0	72	72	72	72	72	72	72	72	72	72	72	72	72	72	72	72	72	72	72	72	72	72	72	LL	63	LL	72	72	72	72	72	0	0	0	0	0	0	0	0	0																																																																									
																																											0	0	0	72	72	72	72	72	72	72	72	72	72	72	72	72	72	AA	AA	AA	LL	71	LL	72	72	LL	64	LL	72	72	72	72	72	0	0	0	0	0	0	0	0	0	0																																																																								
																																												0	0	0	72	72	72	72	72	72	72	72	72	72	72	72	72	LL	78	74	LL	70	LL	72	72	LL	65	LL	72	72	72	72	72	0	0	0	0	0	0	0	0	0	0	0																																																																							
																																													0	0	0	72	72	72	72	72	72	72	72	72	72	72	72	LL	74	74	LL	69	LL	72	72	LL	66	LL	72	72	72	72	72	0	0	0	0	0	0	0	0	0	0	0	0																																																																						
																																														0	0	0	72	72	72	72	72	72	72	72	72	72	72	LV	VV	VV	LV	68	LL	72	72	LL	67	LL	72	72	72	72	72	0	0	0	0	0	0	0	0	0	0	0	0	0																																																																					
																																															0	0	0	72	72	72	72	72	72	72	72	72	72	72	72	72	LL	67	LL	72	72	LL	68	LL	72	72	LL	70	70	0	0	0	0	0	0	0	0	0	0	0	0	0	0																																																																				
																																																0	0	0	72	72	72	72	72	72	72	72	72	72	72	72	LL	66	LL	72	72	LL	69	LL	72	72	LL	68	68	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0																																																																			
																																																	0	0	0	72	72	72	72	72	72	72	72	72	72	72	LL	65	LL	72	72	LL	70	LL	72	72	LL	66	66	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0																																																																		
																																																		0	0	0	72	72	72	72	72	72	72	72	72	72	LL	64	LL	72	72	LL	71	LL	72	72	LL	64	64	64	64	64	64	64	64	0	0	LA	AA	AA	AA	AA	AA	AA	AA	JJ																																																																	
																																																			0	0	0	72	72	72	72	72	72	72	72	72	LL	63	LL	72	72	72	72	72	72	72	LL	64	64	64	64	64	64	64	JJ	0	0	LL	65	64.5	64	64	64	65	64.5	JJ	0																																																																
																																																				0	0	0	72	72	72	72	72	72	72	72	LL	62	LL	72	72	72	72	72	72	72	LL	64	64	64	64	64	64	64	JJ	0	0	LL	65	64.5	64	64	64	65	64.5	JJ	0	0																																																															
																																																					0	0	0	72	72	72	72	72	72	72	LV	VV	LV	VV	VV	VV	VV	VV	VV	VV	LV	VV	VV	VV	VV	64	64	64	JJ	0	0	LL	65	64.5	64	VV	64	65	64.5	JJ	0	0	0																																																														
																																																						0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	LL	64	64	JJ	0	0	LL	65	64.5	JJ	0	LL	65	64.5	JJ	0	0	0	0																																																													
																																																							0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	LA	AA	AA	AA	AA	AA	64	64	64	64	AA	AA	64	65	64.5	JJ	0	LL	65	64.5	JJ	0	0	0	0	0																																																												
																																																								0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	LL	63	63.5	64	64	64	64	64	64	64	64	64	64	65	64.5	JJ	0	LL	65	64.5	JJ	0	0	0	0	0	0																																																											
																																																									0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	LL	63	63.5	64	64	64	64	64	64	64	64	64	64	65	64.5	JJ	0	LL	65	64.5	JJ	0	0	0	0	0	0	0																																																										
																																																										0	0	0	0	0	0	0	0	0	0	0	0	0	0	LL	63	63.5	64	VV	VV	VV	VV	VV	VV	VV	VV	VV	VV	VV	VJ	0	LL	65	64.5	JJ	0	0	0	0	0	0	0	0																																																									
																																																											0	0	0	0	0	0	0	0	0	0	0	0	0	LL	63	63.5	JJ	0	0	0	0	0	0	0	0	0	0	0	0	0	LL	65	64.5	JJ	0	0	0	0	0	0	0	0	0																																																								
																																																												0	0	0	0	0	0	0	0	0	0	0	0	LL	63	63.5	JJ	0	0	0	0	0	0	0	0	AA	AA	AA	AA	AA	64	65	64.5	JJ	0	0	0	0	0	0	0	0	0	0																																																							
																																																													0	0	0	0	0	0	0	0	0	0	0	LL	63	63.5	JJ	0	0	0	0	0	0	0	0	LL	65	64.5	64	64	64	65	64.5	JJ	0	0	0	0	0	0	0	0	0	0	0																																																						
																																																														0	0	0	0	0	0	0	0	0	0	LL	63	63.5	JJ	0	0	0	0	0	0	0	0	LL	65	64.5	64	64	64	65	64.5	JJ	0	0	0	0	0	0	0	0	0	0	0	0																																																					
																																																															0	0	0	0	0	0	0	0	0	LL	63	63.5	JJ	0	0	0	0	0	0	0	0	LL	65	64.5	64	VV	VV	VV	VV	VJ	0	0	0	0	0	0	0	0	0	0	0	0	0																																																				
																																																																0	0	0	0	0	0	0	0	LL	63	63.5	JJ	0	0	0	0	0	0	0	0	LL	65	64.5	JJ	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0																																																			
																																																																	0	0	0	0	0	0	0	LL	63	63.5	64	AA	AA	AA	AA	AJ	0	0	0	LL	65	64.5	JJ	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0																																																		
																																																																		0	0	0	0	0	0	LL	63	63.5	64	64	64	63	64	JJ	0	0	0	LL	65	64.5	JJ	0	0	TU	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0																																																	
																																																																			0	0	0	0	0	LL	63	63.5	64	64	64	63	64	JJ	0	0	0	LL	65	64.5	64	AA	AA	AA	AJ	66	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0																																																
																																																																				0	0	0	0	LV	VV	VV	VV	VV	64	63	64	JJ	0	0	0	LL	65	64.5	64	64	OU	64	JJ	66	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0																																															
																																																																					0	0	0	0	0	0	0	0	LL	63	64	JJ	0	0	0	LL	65	64.5	64	64	64	64	JJ	66	AA	AA	AA	AA	AJ	0	0	0	0	0	0	0	0	0	0	0	0	0	0																																														
																																																																						0	0	0	0	0	0	0	LL	63	64	JJ	0	0	0	LV	VV	VV	VV	VV	VV	VV	VJ	60	VV	60	60	60	60	AA	AA	AA	AA	AA	AA	AA	AA	AA	AA	AA	AA	AA	AA	AA																																													
																																																																							0	0	0	0	0	0	LL	63	64	JJ	0	0	0	0	0	0	0	0	0	0	60	JJ	IN	49	49	LV	VV	VV	VV	VV	VV	VV	VV	VV	VV	VV	VV	VV	VV	VV	VV	VV	VV																																												
																																																																								0	0	0	0	0	LL	63	64	64	AA	AA	AA	AA	AA	AA	AA	AA	AA	AA	AJ	JJ	IN	49	49	49	49	49	49	49	49	49	49	49	49	49	49	49	48	47	46	45	JJ	0																																											
																																																																									0	0	0	0	LL	63	64	64	64	64	64	64	64	64	64	64	OU	64	JJ	JJ	49	49	MI	VV	VV	VV	49	49	49	VV	VV	VV	VV	49	49	49	48	47	46	45	JJ	0	0																																										
																																																																										0	0	0	LL	63	64	64	64	64	64	64	64	64	64	64	64	64	JJ	JJ	60	49	JJ	47.5	47.5	47.5	LL	48.5	JJ	47.5	EM	47.5	47.5	LL	49	49	48	47	46	45	JJ	0	0	0																																									
																																																																											0	0	LL	VV	VV	VV	VV	VV	VV	VV	VV	VV	VV	VV	VV	VV	VJ	HH	60	49	JJ	47.5	47.5	47.5	LL	48	JJ	47.5	47.5	47.5	EA	LL	49	49	48	47	46	45	JJ	0	0	0	0																																								
																																																																												0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	TU	60	49	JJ	47.5	47.5	47.5	47.5	47.5	47.5	47.5	47.5	47.5	47.5	LL	49	49	48	47	46	45	JJ	0	0	0	0	0																																							
																																																																													0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	60	60	49	JJ	47.5	47.5	47.5	47.5	47.5	47.5	47.5	47.5	47.5	47.5	LL	49	49	48	47	46	45	JJ	0	0	0	0	0	0																																						
																																																																														0	0	0	0	0	0	0	0	0	0	0	0	0	0	60	60	49	JJ	47.5	LA	AJ	47.5	47.5	47.5	LA	AA	AJ	47.5	LL	49	49	48	47	46	45	JJ	0	0	0	0	0	0	0																																					
																																																																															0	0	0	0	0	0	0	0	0	0	0	0	0	60	60	49	JJ	47.5	LV	VJ	EA	47.5	47.5	LV	49	JJ	47.5	LL	49	49	48	47	46	45	44	0	0	0	0	0	0	0	0																																				
																																																																																0	0	0	0	0	0	0	0	0	0	0	0	60	60	49	JJ	47.5	47.5	47.5	47.5	47.5	47.5	47.5	LL	JJ	47.5	LL	49	LL	48	47	46	45	AJ	44	AA	AA	AA	AA	AA	AA	AA	AA																																			
																																																																																	0	0	0	0	0	0	0	0	0	0	0	60	60	49	JJ	47.5	47.5	47.5	47.5	47.5	47.5	47.5	LL	JJ	47.5	LL	49	LL	49	48	47	46	45	45	45	45	45	45	45	45	45	45	45																																		
																																																																																		0	0	0	0	0	0	0	0	0	0	60	60	49	JJ	47.5	47.5	LA	AJ	47.5	47.5	47.5	LL	JJ	47.5	LL	49	LL	48	49	48	47	46	46	46	46	46	46	46	46	46	46	46	46																																	
																																																																																			0	0	0	0	0	0	0	0	0	60	60	49	JJ	47.5	LA	49	JJ	47.5	VJ	47.5	LV	VJ	47.5	LL	49	LL	47	48	49	48	47	47	47	47	47	47	47	47	47	47	47	47	47																																
																																																																																				0	0	0	0	0	0	0	0	60	60	49	JJ	47.5	VV	VV	VJ	EY	47.5	EM	47.5	47.5	47.5	LL	49	LL	46	47	48.125	49	48	48	48	48	48	48	48	48	48	48	48	48	48	48																															
																																																																																					0	0	0	0	0	0	0	60	60	49	JJ	EM	47.5	EA	47.5	47.5	47.5	47.5	47.5	47.5	47.5	LL	49	LV	VV	VV	VV	VV	49	49	49	49	49	49	49	49	49	49	49	49	49	49	49																														
																																																																																						0	0	0	0	0	0	60	60	49	JJ	47.5	47.5	47.5	47.5	47.5	47.5	EY	47.5	47.5	47.5	LL	49	49	49	49	49	49	VV	VV	VV	VV	VV	VV	49	49	49	49	49	49	49	49	49	49																													
																																																																																							0	0	0	0	0	60	60	49	49	VV	VV	VV	VV	VV	VV	VV	VV	VV	VV	MI	49	VV	VV	VV	VV	VV	VV	VV	VV	VV	VV	VV	VV	VV	VV	VV	VV	VV	VV	VV	VV	VV	VV																												
																																																																																								0	0	0	0	60	60	49	49	49	49	49	49	49	49	49	49	49	49	49	49	49	48	47	47	JJ	0	0	0	LL	41	JJ	30	30	30	30	30	30	30	30	30	30	30	30																											
																																																																																									0	0	0	60	60	49	49	49	49	49	49	AA	AA	AA	AA	AJ	JJ	AJ	49	49	VV	47	47	JJ	LL	0	0	LL	41	JJ	30	30	30	30	30	30	30	30	30	30	30	30	30																										
																																																																																										0	0	0	48	48	48	48	48	48	48	49	48.125	47	46	JJ	JJ	JJ	48	JJ	0	LL	46	JJ	0	0	0	LL	41	JJ	30	30	30	30	30	30	30	30	30	30	30	30	30	30																									
																																																																																											0	0	47	47	47	47	47	47	47	48	49	48	47	JJ	JJ	JJ	47	47	AA	45	45	45	AA	AA	AA	41	41	JJ	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30																								
																																																																																												0	46	46	46	46	46	46	46	47	48	49	48	JJ	JJ	JJ	47	47	46	45	45	45	44	43	42	41	41	JJ	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30																							
																																																																																													45	45	45	45	45	45	45	46	47	48	49	JJ	JJ	JJ	VV	VV	VV	45	45	45	VV	VV	VV	41	41	JJ	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30																						
																																																																																														44	44	44	44	44	44	45	46	47	48	JJ	JJ	JJ	0	0	0	LL	44	JJ	0	0	0	LL	40	JJ	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30																					
																																																																																															0	0	0	0	44	45	46	47	48	49	JJ	JJ	0	0	0	LL	43	JJ	0	0	0	LL	39	JJ	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30																				
																																																																																																0	0	0	44	45	46	47	48	49	JJ	JJ	0	0	0	LL	42	JJ	0	0	0	LL	38	JJ	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30																			
																																																																																																	0	0	44	45	46	47	48	49	JJ	JJ	AA	AA	AA	41	41	41	AA	AA	AA	37	37	37	AA	AA	AA	AA	AA	AA	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30																		
																																																																																																		0	44	45	46	47	48	49	JJ	JJ	41	41	41	41	41	41	40	39	38	37	37	37	36	35	34	33	32	31	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30																	
																																																																																																			44	45	46	47	48	49	JJ	JJ	VV	VV	VV	VV	VV	VV	VV	VV	VV	37	37	37	VV	VV	VV	VV	VV	VV	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30																
																																																																																																				45	46	47	48	49	49	49	30	30	30	30	30	30	30	30	30	LL	36	JJ	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30															
																																																																																																					46	47	48	49	49	49	30	30	30	30	30	30	30	30	30	LL	35	JJ	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	0														
																																																																																																						47	48	49	49	49	30	30	30	30	30	30	30	30	30	LL	34	JJ	30	30	0	0	0	0	0	30	30	30	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0													
																																																																																																							48	49	49	49	30	30	30	30	30	30	30	30	30	LL	33	JJ	30	30	0	0	0	0	0	30	30	30	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0												
																																																																																																								49	49	49	30	30	30	30	30	30	30	30	30	LL	32	JJ	30	30	0	0	0	0	0	30	30	30	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0											
																																																																																																									49	49	30	30	30	30	30	30	30	30	30	LL	31	JJ	30	30	0	0	0	30	30	30	30	30	30	30	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0										
																																																																																																										49	30	30	30	30	30	30	30	30	30	30	30	30	30	30	0	0	0	30	30	30	30	30	30	30	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
																																																																																																											30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0								
																																																																																																												30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	S1	30	30	30	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0							
																																																																																																													30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0						
																																																																																																														30	30	30	30	30	30	30	30	30	30	30	0	0	0	30	30	30	30	30	30	30	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
																																																																																																															30	30	30	30	30	30	30	30	30	30	0	0	0	30	30	30	30	30	30	30	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0				
																																																																																																																30	30	30	30	30	30	30	30	30	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0			
																																																																																																																	30	30	30	30	30	30	30	30	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0		
																																																																																																																		30	30	30	30	30	30	30	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
																																																																																																																			30	30	30	30	30	30	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
																																																																																																																				30	30	30	30	30	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
																																																																																																																					30	30	30	30	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
																																																																																																																						30	30	30	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
																																																																																																																							30	30	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
